ICR_id,# Designs Passing,#LowScore Designs,Failed Designs,Total Submitted
ICR_346,4,5,0,9
ICR_347,8,3,0,11
ICR_348,10,3,0,13
ICR_349,5,6,0,11
ICR_350,3,6,0,9
ICR_351,12,1,0,13
ICR_352,8,0,0,8
ICR_353,9,0,0,9
ICR_354,13,25,0,38
ICR_355,5,0,0,5
ICR_356,15,1,1,17
ICR_357,8,0,0,8
ICR_358,7,0,0,7
ICR_359,7,1,0,8
ICR_360,10,3,0,13
ICR_361,21,10,0,31
ICR_362,12,0,0,12
ICR_363,2,7,0,9
ICR_364,8,5,0,13
ICR_365,7,2,0,9
ICR_366,91,21,0,112
ICR_367,9,0,0,9
ICR_368,12,5,0,17
ICR_369,7,5,0,12
ICR_370,3,6,0,9
ICR_371,4,9,0,13
ICR_372,9,6,0,15
ICR_373,7,3,0,10
ICR_374,17,18,0,35
ICR_375,0,7,0,7
ICR_376,11,1,2,14
ICR_377,8,0,0,8
ICR_378,22,0,0,22
ICR_379,13,0,0,13
ICR_380,2,6,0,8
ICR_381,8,4,0,12
ICR_382,9,16,0,25
ICR_383,6,6,0,12
ICR_384,8,0,0,8
ICR_385,11,0,0,11
ICR_386,10,1,0,11
ICR_387,13,2,0,15
ICR_388,0,8,0,8
ICR_389,14,1,0,15
ICR_390,4,0,0,4
ICR_391,4,0,0,4
ICR_392,17,2,0,19
ICR_393,9,0,0,9
ICR_394,6,1,0,7
ICR_395,11,5,0,16
ICR_396,5,5,0,10
ICR_397,13,1,0,14
ICR_398,7,1,1,9
ICR_399,12,1,0,13
ICR_400,9,0,0,9
ICR_401,15,0,0,15
ICR_402,8,0,0,8
ICR_403,18,1,0,19
ICR_404,70,75,0,145
ICR_405,7,8,0,15
ICR_406,16,4,0,20
ICR_407,10,1,0,11
ICR_408,10,4,0,14
ICR_409,7,14,0,21
ICR_410,23,6,0,29
ICR_411,8,1,0,9
ICR_412,11,0,0,11
ICR_413,5,2,7,14
ICR_414,11,0,0,11
ICR_415,8,0,0,8
ICR_416,7,0,0,7
ICR_417,16,3,0,19
ICR_418,9,0,0,9
ICR_419,10,0,0,10
ICR_420,8,0,0,8
ICR_421,6,7,0,13
ICR_422,5,0,0,5
ICR_423,25,3,0,28
ICR_424,10,2,3,15
ICR_425,6,2,0,8
ICR_426,6,0,0,6
ICR_427,13,0,0,13
ICR_428,7,1,1,9
ICR_429,1,9,0,10
ICR_430,6,2,0,8
ICR_431,8,6,0,14
ICR_432,7,0,0,7
ICR_433,6,2,0,8
ICR_434,9,3,0,12
ICR_435,6,2,0,8
ICR_436,8,0,0,8
